Brand,Weight,SoC,CPU,GPU,RAM,Storage,Memory cards,Display,Battery,OS,Camera,SIM card,Wi-Fi,USB,Bluetooth,Positioning,priceUrl,imageUrl,name
lava,116 g,MediaTek MT6580,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, Cores: 2","512 MB, 533 MHz",4 GB,"microSD, microSDHC","4 in, TFT, 480 x 800 pixels, 24 bit","1300 mAh, Li-Ion",Android 5.1 Lollipop,"1600 x 1200 pixels, 640 x 480 pixels, 30 fps",Mini-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,,,https://www.devicespecifications.com/images/model/7ab33cbd/320/main.jpg,A48;
lava,142 g,Spreadtrum SC7731G,"ARM Cortex-A7, 1200 MHz, Cores: 4","ARM Mali-400 MP2, 400 MHz, Cores: 2",1 GB,8 GB,"microSD, microSDHC","5 in, TFT, 480 x 800 pixels, 24 bit","2000 mAh, Li-Ion",Android 5.1 Lollipop,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps","Mini-SIM, Micro-SIM","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/2f9d3c5d/320/main.jpg,A82;
lava,280 g,,"1000 MHz, Cores: 4",,1 GB,16 GB,"microSD, microSDHC","7 in, LCD, 1280 x 800 pixels, 24 bit","3000 mAh, Li-Polymer",Android 5.1 Lollipop,"2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/c1ad3c40/320/main.jpg,IvoryS 4G;
lava,140 g,Spreadtrum SC7731G,"ARM Cortex-A7, 1200 MHz, Cores: 4","ARM Mali-400 MP2, 400 MHz, Cores: 2",512 MB,4 GB,"microSD, microSDHC","4.5 in, TFT, 480 x 800 pixels, 24 bit","1750 mAh, Li-Ion",Android 5.1 Lollipop,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",Mini-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",2.1,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/e31a3c3f/320/main.jpg,A59;
lava,134 g,Spreadtrum SC7731G,"ARM Cortex-A7, 1200 MHz, Cores: 4","ARM Mali-400 MP2, 400 MHz, Cores: 2",1 GB,8 GB,"microSD, microSDHC","5.5 in, TFT, 480 x 800 pixels, 24 bit","2200 mAh, Li-Ion",Android 5.1 Lollipop,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/f3213c32/320/main.jpg,A79;
lava,154 g,Spreadtrum SC7731G,"ARM Cortex-A7, 1200 MHz, Cores: 4","ARM Mali-400 MP2, 400 MHz, Cores: 2",512 MB,4 GB,"microSD, microSDHC","5 in, TFT, 480 x 800 pixels, 24 bit","2000 mAh, Li-Ion",Android 5.1 Lollipop,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",Mini-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",2.1,GPS,,https://www.devicespecifications.com/images/model/24273bdf/320/main.jpg,A67;
lava,157 g,Spreadtrum SC9830A,"ARM Cortex-A7, 1500 MHz, Cores: 4","ARM Mali-400 MP2, Cores: 2",1 GB,8 GB,"microSD, microSDHC","5 in, IPS, 540 x 960 pixels, 24 bit","2000 mAh, Li-Polymer",Android 5.1.1 Lollipop,"2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps",,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/b9653bba/320/main.jpg,A89;
lava,135 g,Spreadtrum SC9830A,"ARM Cortex-A7, 1500 MHz, Cores: 4","ARM Mali-400 MP2, Cores: 2",1 GB,8 GB,"microSD, microSDHC","4.5 in, IPS, 480 x 854 pixels, 24 bit","1850 mAh, Li-Polymer",Android 5.1.1 Lollipop,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/913b3bb9/320/main.jpg,A76;
lava,143 g,Spreadtrum SC9830A,"ARM Cortex-A7, 1500 MHz, Cores: 4","ARM Mali-400 MP2, Cores: 2",1 GB,8 GB,"microSD, microSDHC","5 in, IPS, 720 x 1280 pixels, 24 bit","2500 mAh, Li-Polymer",Android 5.1.1 Lollipop,"2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/64b03bb8/320/main.jpg,A72;
lava,155 g,Spreadtrum SC7731G,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, 400 MHz, Cores: 2",512 MB,8 GB,"microSD, microSDHC","5 in, TFT, 480 x 854 pixels, 24 bit","3000 mAh, Li-Ion",Android 5.1 Lollipop,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",2.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/18513b0a/320/main.jpg,Iris Fuel F2;
lava,127 g,MediaTek MT6735P,"ARM Cortex-A53, 1000 MHz, Cores: 4","ARM Mali-T720 MP2, 400 MHz, Cores: 2","2 GB, 533 MHz",8 GB,"microSD, microSDHC, microSDXC","5 in, IPS, 720 x 1280 pixels, 24 bit","2500 mAh, Li-Ion",Android 5.1.1 Lollipop,"3264 x 2448 pixels, 1280 x 720 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/564c3acb/320/main.jpg,V2s;
lava,143 g,MediaTek MT6572,"ARM Cortex-A7, 1300 MHz, Cores: 2","ARM Mali-400 MP1, 500 MHz, Cores: 1","512 MB, 266 MHz",8 GB,"microSD, microSDHC","4.5 in, TFT, 480 x 854 pixels, 24 bit","1750 mAh, Li-Ion",Android 5.1 Lollipop,"2048 x 1536 pixels, 1280 x 720 pixels, 30 fps","Mini-SIM, Micro-SIM","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,,,https://www.devicespecifications.com/images/model/69e63ac9/320/main.jpg,Flair S1;
lava,141 g,Spreadtrum SC9830A,"ARM Cortex-A7, 1500 MHz, Cores: 4","ARM Mali-400 MP2, Cores: 2",2 GB,8 GB,"microSD, microSDHC","5 in, IPS, 720 x 1280 pixels, 24 bit","2500 mAh, Li-Polymer",Android 5.1.1 Lollipop,"3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/a5eb3a8f/320/main.jpg,X11;
lava,157 g,Spreadtrum SC9830A,"ARM Cortex-A7, 1500 MHz, Cores: 4","ARM Mali-400 MP2, Cores: 2",512 MB,4 GB,"microSD, microSDHC","5 in, TFT, 480 x 854 pixels, 24 bit","2000 mAh, Li-Ion",Android 5.1 Lollipop,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/4e773a11/320/main.jpg,A88;
lava,143 g,Spreadtrum SC9830A,"ARM Cortex-A7, 1500 MHz, Cores: 4","ARM Mali-400 MP2, Cores: 2",1 GB,8 GB,"microSD, microSDHC","5 in, IPS, 720 x 1280 pixels, 24 bit","2500 mAh, Li-Polymer",Android 5.1.1 Lollipop,"2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/fb883a06/320/main.jpg,A71;
lava,142 g,Mediatek MT6580,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, Cores: 2","2 GB, 533 MHz",8 GB,"microSD, microSDHC, microSDXC","5 in, IPS, 720 x 1280 pixels, 24 bit","2500 mAh, Li-Ion",Android 5.1.1 Lollipop,"3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/6d4339f0/320/main.jpg,X3;
lava,153 g,MediaTek MT6580M,"ARM Cortex-A7, 1200 MHz, Cores: 4","ARM Mali-400 MP2, 416 MHz, Cores: 2","1 GB, 533 MHz",8 GB,"microSD, microSDHC","5 in, TFT, 480 x 854 pixels, 24 bit","2000 mAh, Li-Ion",Android 5.1 Lollipop,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/8ec83e0b/320/main.jpg,P7;
lava,153 g,MediaTek MT6735,"ARM Cortex-A53, 1300 MHz, Cores: 4","ARM Mali-T720 MP2, 600 MHz, Cores: 2","3 GB, 640 MHz",16 GB,"microSD, microSDHC","5.5 in, IPS, 720 x 1280 pixels, 24 bit","3000 mAh, Li-Polymer",Star OS 2.0 (Android 5.1.1 Lollipop),"4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS, GLONASS",,https://www.devicespecifications.com/images/model/6f9439c6/320/main.jpg,V5;
lava,110 g,Spreadtrum SC7731G,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, 400 MHz, Cores: 2",512 MB,8 GB,"microSD, microSDHC","4 in, TFT, 480 x 800 pixels, 24 bit","1550 mAh, Li-Ion",Android 5.1 Lollipop,"2592 x 1944 pixels, 640 x 480 pixels, 30 fps","Mini-SIM, Micro-SIM","b, g, n, Wi-Fi Hotspot","2.0, Micro USB",2.0,GPS,,https://www.devicespecifications.com/images/model/33fc395f/320/main.jpg,Iris Atom;
